Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
David Ospina,Arsenal,28,Goalkeeper,36,12,32,32,25,16,40,10,71,84,0,0,0,0,0,0,0,0,5,0,2,0.0,0,0,2,0,0,0,0,0,5,0,4,3.25
Denis Petric,En Avant de Guingamp,29,Goalkeeper,18,14,13,21,13,12,25,12,62,73,0,0,0,1,0,0,0,0,15,0,9,1.2222222222,0,0,1,0,0,0,0,0,23,0,11,1.1818181818
Diego Benaglio,AS Monaco,33,Goalkeeper,32,16,31,22,22,7,37,10,80,73,0,0,3,1,0,0,1,0,22,0,14,2.3571428571,0,0,5,1,0,0,0,0,39,0,21,1.8095238095
Diego Marino,Real Sporting de Gijon,27,Goalkeeper,34,14,32,19,22,11,36,16,71,77,0,0,0,0,1,0,0,0,3,0,2,0.0,0,0,3,1,0,0,0,0,43,2,23,1.2173913043
Emiliano Viviano,Sampdoria,31,Goalkeeper,36,18,37,22,10,10,60,19,84,83,0,0,3,5,0,0,1,0,20,0,17,2.3529411765,0,0,7,1,0,0,4,0,56,0,37,2.5675675676
Etrit Berisha,Atalanta,28,Goalkeeper,19,12,26,17,22,12,42,14,76,81,0,0,12,3,0,0,1,0,26,0,27,3.4444444444,0,0,2,1,0,0,1,0,13,0,11,2.6363636364
Eugenio Lamanna,Genoa,27,Goalkeeper,35,18,37,24,14,11,31,15,72,74,0,0,2,0,0,0,2,0,37,1,21,1.8095238095,0,0,4,0,0,0,0,0,18,1,13,2.3076923077
Federico Marchetti,Lazio,34,Goalkeeper,36,11,35,20,22,12,45,19,78,84,0,0,2,0,0,1,2,0,24,0,18,2.5555555556,0,0,9,0,0,2,2,0,40,0,29,2.9310344828
Felix Wiedwald,Leeds United,27,Goalkeeper,41,14,32,32,15,10,36,9,66,80,0,0,5,2,0,0,1,0,50,0,25,1.68,0,0,2,4,0,0,0,0,65,0,34,1.1470588234999999
Fraser Forster,Southampton,29,Goalkeeper,27,20,19,33,22,13,44,13,78,80,0,0,14,3,0,0,1,0,48,0,38,2.8947368421,0,0,6,0,0,0,0,0,17,0,18,3.0555555556
Geoffrey Jourdren,AS Nancy Lorraine,31,Goalkeeper,35,10,36,24,22,13,34,13,69,78,0,0,1,0,0,0,0,0,28,1,13,0.8461538462,0,0,2,2,0,0,0,0,8,0,7,2.4285714286
German Lux,River Plate,35,Goalkeeper,12,11,29,35,17,11,49,15,71,79,0,0,6,5,0,1,0,0,41,0,25,1.88,0,0,6,4,1,1,1,0,38,0,29,2.2413793103
Geronimo Rulli,Real Sociedad,25,Goalkeeper,32,15,23,15,21,12,58,16,79,86,0,0,10,4,0,0,1,0,53,0,38,2.4210526316,0,0,12,4,1,0,1,0,46,0,36,2.6666666667
Gianluca Pegolo,Sassuolo,36,Goalkeeper,35,11,21,20,20,12,33,12,68,74,0,0,0,0,0,0,0,0,5,0,1,-2.0,0,0,1,2,0,0,0,0,2,0,2,2.0
